Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,nil_nil_xG,nil_nil_xGA,nil_nil_xGD,nil_nil_xGD/90
1,Liverpool,11,9,1,1,21,6,15,28,2.55,20.1,9.3,+10.8,+0.98,W W D W W,"60,263",Mohamed Salah - 8,Alisson,,6.46,1.77,+4.69,+0.426
2,Manchester City,11,7,2,2,22,13,9,23,2.09,22.0,13.0,+9.0,+0.81,W W W L L,"52,800",Erling Haaland - 12,Ederson,,5.49,3.11,+2.38,+0.216
3,Chelsea,11,5,4,2,21,13,8,19,1.73,19.6,15.1,+4.6,+0.42,D L W D D,"39,528",Cole Palmer - 7,Robert Sánchez,,6.9,6.14,+0.76,+0.069
4,Arsenal,11,5,4,2,18,12,6,19,1.73,17.0,11.9,+5.1,+0.46,W L D L D,"60,320",Kai Havertz - 4,David Raya,,5.94,5.42,+0.52,+0.047
5,Nott'ham Forest,11,5,4,2,15,10,5,19,1.73,14.2,11.2,+3.0,+0.27,D W W W L,"29,920",Chris Wood - 8,Matz Sels,,7.99,4.89,+3.1,+0.282
6,Brighton,11,5,4,2,19,15,4,19,1.73,16.4,18.4,-1.9,-0.18,W W D L W,"33,576",Danny Welbeck - 6,Bart Verbruggen,,5.59,7.21,-1.62,-0.147
7,Fulham,11,5,3,3,16,13,3,18,1.64,17.0,12.7,+4.3,+0.39,L L D W W,"25,861",Raúl Jiménez - 4,Bernd Leno,,6.53,4.42,+2.11,+0.192
8,Newcastle Utd,11,5,3,3,13,11,2,18,1.64,16.3,14.6,+1.7,+0.15,D L L W W,"52,225","Alexander Isak, Harvey Barnes - 4",Nick Pope,,4.82,4.62,+0.2,+0.018
9,Aston Villa,11,5,3,3,17,17,0,18,1.64,16.2,13.3,+2.9,+0.26,D W D L L,"41,597",Ollie Watkins - 5,Emiliano Martínez,,6.95,2.39,+4.56,+0.415
10,Tottenham,11,5,1,5,23,13,10,16,1.45,21.3,13.0,+8.4,+0.76,L W L W L,"61,398","Dominic Solanke, Brennan Johnson - 4",Guglielmo Vicario,,4.75,3.8400000000000003,+0.91,+0.083
11,Brentford,11,5,1,5,22,22,0,16,1.45,18.2,19.3,-1.1,-0.1,W L W L W,"17,012",Bryan Mbeumo - 8,Mark Flekken,,3.98,4.68,-0.7,-0.064
12,Bournemouth,11,4,3,4,15,15,0,15,1.36,18.8,14.4,+4.4,+0.4,L W D W L,"11,221","Evanilson, Antoine Semenyo - 4",Kepa Arrizabalaga,,7.71,6.109999999999999,+1.6,+0.145
13,Manchester Utd,11,4,3,4,12,12,0,15,1.36,17.4,16.7,+0.6,+0.06,D W L D W,"73,667",Alejandro Garnacho - 3,André Onana,,9.92,8.81,+1.11,+0.101
14,West Ham,11,3,3,5,13,19,-6,12,1.09,15.1,18.4,-3.4,-0.31,W L W L D,"62,469",Jarrod Bowen - 3,Alphonse Areola,,4.36,7.53,-3.17,-0.288
15,Leicester City,11,2,4,5,14,21,-7,10,0.91,11.1,20.0,-9.0,-0.81,W W L D L,"31,810",Jamie Vardy - 4,Mads Hermansen,,1.61,5.78,-4.17,-0.379
16,Everton,11,2,4,5,10,17,-7,10,0.91,11.9,16.0,-4.0,-0.37,D W D L D,"38,997",Dwight McNeil - 3,Jordan Pickford,,5.67,7.75,-2.08,-0.189
17,Ipswich Town,11,1,5,5,12,22,-10,8,0.73,10.1,24.2,-14.1,-1.28,L L L D W,"29,842",Liam Delap - 6,Arijanet Muric,,3.4699999999999998,6.47,-3.0,-0.273
18,Crystal Palace,11,1,4,6,8,15,-7,7,0.64,13.8,16.1,-2.4,-0.22,L L W D L,"25,142",Jean-Philippe Mateta - 3,Dean Henderson,,5.79,8.02,-2.23,-0.203
19,Wolves,11,1,3,7,16,27,-11,6,0.55,11.5,19.8,-8.3,-0.75,L L D D W,"31,125",Matheus Cunha - 5,José Sá,,4.44,4.94,-0.5,-0.045
20,Southampton,11,1,1,9,7,21,-14,4,0.36,11.9,22.4,-10.6,-0.96,L L L W L,"31,140",Cameron Archer - 2,Aaron Ramsdale,,5.55,10.02,-4.47,-0.406
