Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,nil_nil_xG,nil_nil_xGA,nil_nil_xGD,nil_nil_xGD/90
1,Manchester City,2,2,0,0,6,1,5,6,3.0,4.1,1.2,+2.9,+1.43,W W,,Erling Haaland - 4,Ederson,,0.36,0.32999999999999996,+0.03,+0.015
2,Brighton,2,2,0,0,5,1,4,6,3.0,3.5,1.9,+1.6,+0.82,W W,"31,537",Danny Welbeck - 2,Jason Steele,,1.9500000000000002,0.74,+1.21,+0.605
3,Arsenal,2,2,0,0,4,0,4,6,3.0,2.1,1.7,+0.4,+0.19,W W,"60,261","Thomas Partey, Leandro Trossard... - 1",David Raya,,1.69,1.44,+0.25,+0.125
4,Liverpool,2,2,0,0,4,0,4,6,3.0,5.1,0.8,+4.3,+2.14,W W,,Mohamed Salah - 2,Alisson,,1.96,0.33,+1.63,+0.815
5,Tottenham,2,1,1,0,5,1,4,4,2.0,3.6,2.0,+1.6,+0.79,D W,"61,357",Son Heung-min - 2,Guglielmo Vicario,,1.6400000000000001,0.49,+1.15,+0.575
6,Newcastle Utd,2,1,1,0,2,1,1,4,2.0,1.9,4.0,-2.1,-1.05,W D,"52,196","Joelinton, Anthony Gordon - 1",Nick Pope,,1.61,2.35,-0.74,-0.37
7,Nott'ham Forest,2,1,1,0,2,1,1,4,2.0,3.6,1.3,+2.2,+1.1,D W,"29,763","Chris Wood, Morgan Gibbs-White - 1",Matz Sels,,3.0,0.42,+2.58,+1.29
8,Chelsea,2,1,0,1,6,4,2,3,1.5,2.6,2.7,-0.1,-0.07,L W,"39,818",Noni Madueke - 3,Robert Sánchez,,0.27,0.36,-0.09,-0.045
9,West Ham,2,1,0,1,3,2,1,3,1.5,3.7,3.3,+0.3,+0.16,L W,"62,463","Tomáš Souček, Lucas Paquetá... - 1",Alphonse Areola,,1.07,1.46,-0.39,-0.195
10,Manchester Utd,2,1,0,1,2,2,0,3,1.5,3.9,2.5,+1.3,+0.67,W L,"73,297","Joshua Zirkzee, Amad Diallo - 1",André Onana,,2.12,1.2000000000000002,+0.92,+0.46
11,Fulham,2,1,0,1,2,2,0,3,1.5,2.2,3.0,-0.8,-0.42,L W,"25,401","Alex Iwobi, Emile Smith Rowe - 1",Bernd Leno,,1.46,2.1,-0.64,-0.32
12,Aston Villa,2,1,0,1,2,3,-1,3,1.5,3.2,3.2,+0.1,+0.03,W L,,"Amadou Onana, Jhon Durán - 1",Emiliano Martínez,,1.6600000000000001,0.53,+1.13,+0.565
13,Brentford,2,1,0,1,2,3,-1,3,1.5,1.9,3.7,-1.8,-0.88,W L,"16,988","Yoane Wissa, Bryan Mbeumo - 1",Mark Flekken,,0.11,0.87,-0.76,-0.38
14,Bournemouth,2,0,2,0,2,2,0,2,1.0,3.5,2.9,+0.5,+0.25,D D,"11,161","Marcus Tavernier, Antoine Semenyo - 1",Neto,,2.23,2.26,-0.03,-0.015
15,Leicester City,2,0,1,1,2,3,-1,1,0.5,1.6,2.9,-1.3,-0.64,D L,"31,977","Jamie Vardy, Wout Faes - 1",Mads Hermansen,,0.8200000000000001,1.98,-1.16,-0.58
16,Southampton,2,0,0,2,0,2,-2,0,0.0,1.9,2.5,-0.6,-0.3,L L,"31,150",,Alex McCarthy,,0.54,2.35,-1.81,-0.905
17,Crystal Palace,2,0,0,2,1,4,-3,0,0.0,2.5,2.9,-0.4,-0.22,L L,"25,099",,Dean Henderson,,1.27,1.12,+0.15,+0.075
18,Ipswich Town,2,0,0,2,1,6,-5,0,0.0,0.7,5.9,-5.2,-2.58,L L,"30,014",Sammie Szmodics - 1,"Christian Walton, Arijanet Muric",,0.6,1.45,-0.85,-0.425
19,Wolves,2,0,0,2,2,8,-6,0,0.0,2.4,2.9,-0.4,-0.22,L L,"31,235","Jørgen Strand Larsen, Matheus Cunha - 1",José Sá,,0.33,1.43,-1.1,-0.55
20,Everton,2,0,0,2,0,7,-7,0,0.0,1.4,3.8,-2.4,-1.22,L L,,,Jordan Pickford,,0.39,1.87,-1.48,-0.74
